"review_id","source_line","sample_stratum","model_bucket","reranker_score","zh","en","deepseek_label","deepseek_confidence","deepseek_reason","codex_review","codex_notes"
"DQ-0001","2478086","reject_stratified","reject_candidate","1.61875814228551E-05","美国财政部长","United States Marine Corps in films","mismatch","1.0","中文指美国财政部长，英文指电影中的美国海军陆战队，语义完全不同。","",""
"DQ-0002","12092579","gray_lower_boundary","gray","1.64424945978681E-05","眉子的双臂已经不停地颤抖,手臂内的肌肉也开始小小地痉挛着。","The tune that they were playing changed, and the tone of the music changed too.","mismatch","1.0","中文描述手臂颤抖和肌肉痉挛，英文描述音乐变化，内容无关。","",""
"DQ-0003","11917237","gray_lower_boundary","gray","1.64424945978681E-05","功德从哪儿来?","Who does the design for your products?","mismatch","1.0","中文问功德来源，英文问产品设计者，语义不同。","",""
"DQ-0004","7726086","gray_upper_boundary","gray","0.001192549243569374","Adam-Saidi重要详情","Important details of ebonypixie","mismatch","1.0","中文指Adam-Saidi的重要详情，英文指ebonypixie的详情，主体不同。","",""
"DQ-0005","14089791","gray_lower_boundary","gray","1.64424945978681E-05","又是焦急等待的一分钟,门这才终于开了。","It was the beginning of July, and the long summer heats had come.","mismatch","1.0","中文描述等待后门开，英文描述七月炎热，内容无关。","",""
"DQ-0006","1078055","gray_upper_boundary","gray","0.0011786719551309943","“你就是好人吗?","“Why are you following me?”","mismatch","1.0","中文问‘你就是好人吗？’，英文问‘你为什么跟着我？’，语义不同。","",""
"DQ-0007","8306533","gray_lower_boundary","gray","1.64424945978681E-05","纪云欣看着深田贺一正在对早上来到诊所的那对夫妻做简介,本来,这个工","And then he looked down to his dirty hands, he looked at the yellow ground and he remembered he was not in his room, and that it wasn’t the sun.","mismatch","1.0","中文描述纪云欣看深田贺一介绍夫妻，英文描述看手和地面，内容无关。","",""
"DQ-0008","12103471","reject_stratified","reject_candidate","1.6314539607265E-05","穷人集中北方城市?","TONEY ATKINS: WHAT IN THE WORLD?","mismatch","1.0","中文问穷人是否集中北方城市，英文为专有名词短语，语义不同。","",""
"DQ-0009","12042776","gray_upper_boundary","gray","0.0011832797899842262","“我怕什么?","Now what am I going to wear?","mismatch","1.0","中文问‘我怕什么？’，英文问‘我穿什么？’，语义不同。","",""
"DQ-0010","10239047","reject_stratified","reject_candidate","1.60616109496914E-05","突然,棋盘一亮。","He wasn't much of a parent.","mismatch","1.0","中文描述棋盘一亮，英文描述他不是好父母，内容无关。","",""
"DQ-0011","3930520","gray_lower_boundary","gray","1.64424945978681E-05","汇发棋最多赢多少钱 . . .","How Much Is The Greek Debt Today","mismatch","1.0","中文询问汇发棋最多赢多少钱，英文询问希腊债务，语义完全不同。","",""
"DQ-0012","8230692","clean_lower_boundary","clean_candidate","0.0012113064294680953","爸,那上面还有疤痕 。 ”","And, he meant it.","mismatch","1.0","中文是父亲提到疤痕，英文是强调他说话算话，语义无关。","",""
