specimen,source,mode,raw_amplitude,actual_u,push_coverage,push_best_rank,push_best_probability,push_best_token_id,push_best_step,probability_entropy,fixed_logit_max_abs_delta,hard_push_hit,free_text,fixed_energy_relative_error,free_energy_relative_error,active_nodes_base,active_nodes_extra
push-single,推。,native,0.0,0.0,0.000469207763671875,44,0.0002372896415181458,30,5,3.4449069499969482,0.0,0,The following is the example.,0.0,0.0,-1,-1
push-single,推。,parent,-4.0,-0.4996646498695335,0.0007829666137695312,30,0.000741667696274817,30,5,4.0329484939575195,5.019372940063477,0,The right is to be.,2.1176765585551038e-07,2.1176765585551038e-07,1,1
push-single,推。,parent,-2.0,-0.48201379003790845,0.0007770061492919922,30,0.0007228273316286504,30,5,4.025657653808594,4.86498498916626,0,The following is the same.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,parent,-1.0,-0.3807970779778824,0.0007075667381286621,36,0.000561195076443255,30,5,3.981968641281128,3.7663469314575195,0,The following is the same.,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,parent,-0.5,-0.23105857863000487,0.0005953311920166016,40,0.0003818402474280447,30,5,3.7679226398468018,2.262989044189453,0,The following is the example.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,parent,0.0,0.0,0.000469207763671875,44,0.0002372896415181458,30,5,3.4449069499969482,0.0,0,The following is the example.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,parent,0.5,0.23105857863000487,0.00032079219818115234,57,0.00012198559852549806,30,5,3.0279030799865723,2.4709043502807617,0,The word is,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,parent,1.0,0.3807970779778824,0.00026088953018188477,69,8.369855640921742e-05,30,5,2.796659469604492,3.6950807571411133,0,The word,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,parent,2.0,0.48201379003790845,0.00023251771926879883,77,6.503405165858567e-05,30,5,2.6819145679473877,4.471116065979004,0,,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,parent,4.0,0.4996646498695335,0.00022727251052856445,79,6.279360968619585e-05,30,5,2.6718215942382812,4.612602233886719,0,,2.713363187467621e-07,2.713363187467621e-07,1,1
push-single,推。,detail,-4.0,-0.4996646498695335,0.001137852668762207,28,0.0006180203054100275,30,5,3.6311357021331787,3.1311492919921875,0,The word is in the process.,2.1176765585551038e-07,2.1176765585551038e-07,1,1
push-single,推。,detail,-2.0,-0.48201379003790845,0.0011246800422668457,29,0.0005993511877022684,30,5,3.6341919898986816,3.045741081237793,0,The word is in the,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,detail,-1.0,-0.3807970779778824,0.0009393692016601562,32,0.0004751101660076529,30,5,3.5077338218688965,2.9443531036376953,0,The word is a,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,detail,-0.5,-0.23105857863000487,0.0006873011589050293,40,0.00030589147354476154,30,5,3.2700366973876953,3.557126998901367,0,The word is a,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,detail,0.0,0.0,0.00041878223419189453,43,0.00016946524556260556,30,5,2.9092776775360107,4.577679634094238,0,The word is,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,detail,0.5,0.23105857863000487,0.00029736757278442383,53,9.811430936679244e-05,30,5,2.607919692993164,5.446900367736816,0,,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,detail,1.0,0.3807970779778824,0.00022274255752563477,63,6.235260661924258e-05,30,5,2.3276686668395996,6.112067222595215,0,,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,detail,2.0,0.48201379003790845,0.00018221139907836914,69,4.830965190194547e-05,30,5,2.1823272705078125,6.570547103881836,0,,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,detail,4.0,0.4996646498695335,0.00017631053924560547,70,4.6318538807099685e-05,30,5,2.162707805633545,6.654079437255859,0,,2.713363187467621e-07,2.713363187467621e-07,1,1
push-single,推。,joint,-4.0,-0.4996646498695335,0.0008079409599304199,34,0.0005793754826299846,30,5,3.7300314903259277,4.017095565795898,0,The following is the case.,2.1176765585551038e-07,2.1176765585551038e-07,1,1
push-single,推。,joint,-2.0,-0.48201379003790845,0.000803828239440918,34,0.0005546942120417953,30,5,3.7347283363342285,3.868803024291992,0,The following is the case.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,joint,-1.0,-0.3807970779778824,0.0006726384162902832,33,0.000443866360001266,30,5,3.6312975883483887,2.79079532623291,0,The following is the example.,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,joint,-0.5,-0.23105857863000487,0.0005539655685424805,35,0.0003104794886894524,30,5,3.454470157623291,1.3180789947509766,0,The following is the example.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,joint,0.0,0.0,0.00043839216232299805,43,0.00017390187713317573,30,5,3.1604833602905273,1.5406389236450195,0,The word is not.,9.044543958225404e-08,9.044543958225404e-08,1,1
push-single,推。,joint,0.5,0.23105857863000487,0.0003368854522705078,61,8.988462650449947e-05,30,5,2.7939133644104004,3.779783248901367,0,The word,1.0588382792775519e-07,1.0588382792775519e-07,1,1
push-single,推。,joint,1.0,0.3807970779778824,0.0002764463424682617,74,6.582599598914385e-05,30,5,2.633019208908081,4.758360862731934,0,,1.0588382792775519e-07,1.0588382792775519e-07,1,1
