case_id,checkpoint,gold_rank,kind,margin,mode,tokens,top1,top3
0,anchor_tree_massive_ep1,2,SVO3,-0.005358412861824036,l0,we offer variety,0,1
1,anchor_tree_massive_ep1,1,SVO3,0.15948393940925598,l0,you have pool,1,1
2,anchor_tree_massive_ep1,2,SVO3,-0.03355520963668823,l0,federation thought condition,0,1
3,anchor_tree_massive_ep1,3,SVO3,-0.05416462570428848,l0,sapphire called one,0,1
4,anchor_tree_massive_ep1,4,SVO3,-0.09086983650922775,l0,administrations revoke certificates,0,0
5,anchor_tree_massive_ep1,3,SVO3,-0.07359736785292625,l0,google done job,0,1
6,anchor_tree_massive_ep1,5,SVO3,-0.0793236568570137,l0,residents dos remédios,0,0
7,anchor_tree_massive_ep1,4,SVO3,-0.0656106579117477,l0,he asked questions,0,0
8,anchor_tree_massive_ep1,1,SVOA4,0.07348787784576416,l0,you capture that how,1,1
9,anchor_tree_massive_ep1,1,SVOA4,0.03579548001289368,l0,we transformed businesses repeatedly,1,1
10,anchor_tree_massive_ep1,6,SVO3,-0.12271060049533844,l0,lutron dimming installation,0,0
11,anchor_tree_massive_ep1,1,SVO3,0.025872260332107544,l0,they provide life,1,1
12,anchor_tree_massive_ep1,2,SVOA4,-0.004889488220214844,l0,hotel provides rentals also,0,1
13,anchor_tree_massive_ep1,3,SVO3,-0.013162761926651001,l0,he loves it,0,1
14,anchor_tree_massive_ep1,4,SVOA4,-0.05754701420664787,l0,ye pollute land so,0,0
15,anchor_tree_massive_ep1,2,SVO3,-0.013206014409661293,l0,she heard sound,0,1
16,anchor_tree_massive_ep1,4,SVO3,-0.03400264121592045,l0,software used quicktime,0,0
17,anchor_tree_massive_ep1,1,SVO3,0.03267858177423477,l0,hotel combines business,1,1
18,anchor_tree_massive_ep1,3,SVO3,-0.017204841133207083,l0,they spread garment,0,1
19,anchor_tree_massive_ep1,3,SVO3,-0.08037964068353176,l0,museum offers introduction,0,1
20,anchor_tree_massive_ep1,1,SVO3,0.045029670000076294,l0,you find gruta,1,1
21,anchor_tree_massive_ep1,2,SVO3,-0.03873486630618572,l0,they put gods,0,1
22,anchor_tree_massive_ep1,3,SVOA4,-0.034343600273132324,l0,parties enjoy pavilion also,0,1
23,anchor_tree_massive_ep1,4,SVOA4,-0.03977655619382858,l0,i catch him sometimes,0,0
24,anchor_tree_massive_ep1,20,SVOA4,-0.0896666431799531,l0,industry implement standards actively,0,0
25,anchor_tree_massive_ep1,1,SVO3,0.03732091188430786,l0,you spit them,1,1
26,anchor_tree_massive_ep1,1,SVO3,0.03489499818533659,l0,enterprises install edition,1,1
27,anchor_tree_massive_ep1,1,SVOA4,0.05129405856132507,l0,you read more here,1,1
28,anchor_tree_massive_ep1,16,SVOA4,-0.10207084938883781,l0,eurotree reserves right explicitly,0,0
29,anchor_tree_massive_ep1,4,SVO3,-0.06173386052250862,l0,collins picked box,0,0
30,anchor_tree_massive_ep1,14,SVOA4,-0.21604585647583008,l0,knowledge carry you here,0,0
31,anchor_tree_massive_ep1,3,SVO3,-0.043673956650309265,l0,project supports systems,0,1
32,anchor_tree_massive_ep1,5,SVO3,-0.04711223393678665,l0,dancers fused features,0,0
33,anchor_tree_massive_ep1,1,SVO3,0.059644103050231934,l0,you turn entry,1,1
34,anchor_tree_massive_ep1,1,SVO3,0.006242603063583374,l0,we offer price,1,1
35,anchor_tree_massive_ep1,4,SVOA4,-0.01738259196281433,l0,attendees have text next,0,0
36,anchor_tree_massive_ep1,6,SVO3,-0.08388055860996246,l0,gate reveals pathway,0,0
37,anchor_tree_massive_ep1,2,SVO3,-0.008270055055618286,l0,vouchers permit people,0,1
38,anchor_tree_massive_ep1,1,SVO3,0.01384483277797699,l0,nordson provides equipment,1,1
39,anchor_tree_massive_ep1,3,SVO3,-0.03197458293288946,l0,china improve coordination,0,1
40,anchor_tree_massive_ep1,6,SVO3,-0.05474070645868778,l0,she slowed acceleration,0,0
41,anchor_tree_massive_ep1,4,SVO3,-0.07263711094856262,l0,hotels found stars,0,0
42,anchor_tree_massive_ep1,2,SVOA4,-0.006552457809448242,l0,sathorn offers facilities also,0,1
43,anchor_tree_massive_ep1,5,SVO3,-0.05342798214405775,l0,use terminates permission,0,0
44,anchor_tree_massive_ep1,7,SVOA4,-0.04252628795802593,l0,cook made plaque ago,0,0
45,anchor_tree_massive_ep1,4,SVO3,-0.21029817312955856,l0,map shows bay,0,0
46,anchor_tree_massive_ep1,6,SVO3,-0.06091214902698994,l0,group pursues research,0,0
47,anchor_tree_massive_ep1,1,SVOA4,0.03379291296005249,l0,you send inquiries also,1,1
48,anchor_tree_massive_ep1,1,SVO3,0.05561054457211867,l0,ferries offers fares,1,1
49,anchor_tree_massive_ep1,4,SVO3,-0.05632683279691264,l0,coromant developed solutions,0,0
50,anchor_tree_massive_ep1,5,SVO3,-0.09870280604809523,l0,offers has addition,0,0
51,anchor_tree_massive_ep1,3,SVOA4,-0.04046006500720978,l0,it gives output then,0,1
52,anchor_tree_massive_ep1,1,SVO3,0.037297323346138,l0,we offer seaways,1,1
53,anchor_tree_massive_ep1,10,SVOA4,-0.03884465992450714,l0,category describes invention best,0,0
54,anchor_tree_massive_ep1,1,SVO3,0.02298043668270111,l0,we offer hotels,1,1
55,anchor_tree_massive_ep1,1,SVOA4,0.032884854823350906,l0,network allows access only,1,1
56,anchor_tree_massive_ep1,4,SVOA4,-0.03315195441246033,l0,company abrogate account instantly,0,0
57,anchor_tree_massive_ep1,2,SVO3,-0.005917274858802557,l0,working watch video,0,1
58,anchor_tree_massive_ep1,1,SVO3,0.02912643551826477,l0,you hit button,1,1
59,anchor_tree_massive_ep1,1,SVOA4,0.11172446608543396,l0,you have models so,1,1
60,anchor_tree_massive_ep1,1,SVO3,0.07679232954978943,l0,you read more,1,1
61,anchor_tree_massive_ep1,2,SVO3,-0.029643554240465164,l0,room features tv,0,1
62,anchor_tree_massive_ep1,1,SVOA4,0.032965391874313354,l0,revolution driving demand also,1,1
63,anchor_tree_massive_ep1,3,SVOA4,-0.02509942650794983,l0,you ask me long,0,1
64,anchor_tree_massive_ep1,5,SVO3,-0.10986512899398804,l0,rotor contains parts,0,0
65,anchor_tree_massive_ep1,2,SVO3,-0.01820272207260132,l0,apartment has bathroom,0,1
66,anchor_tree_massive_ep1,12,SVOA4,-0.0778802364366129,l0,review type webiste above,0,0
67,anchor_tree_massive_ep1,1,SVO3,0.035524338483810425,l0,i hate word,1,1
68,anchor_tree_massive_ep1,6,SVO3,-0.16003592684864998,l0,isms covers matters,0,0
69,anchor_tree_massive_ep1,1,SVO3,0.03400811553001404,l0,you find streets,1,1
70,anchor_tree_massive_ep1,12,SVOA4,-0.09198841452598572,l0,i suffered deaths already,0,0
71,anchor_tree_massive_ep1,4,SVOA4,-0.036410242319107056,l0,browser resize cells also,0,0
72,anchor_tree_massive_ep1,1,SVO3,0.09751629829406738,l0,you saw it,1,1
73,anchor_tree_massive_ep1,1,SVO3,0.05056416988372803,l0,you see destination,1,1
74,anchor_tree_massive_ep1,3,SVO3,-0.12516643106937408,l0,i tell you,0,1
75,anchor_tree_massive_ep1,1,SVO3,0.04723441042006016,l0,widodo welcomed visit,1,1
76,anchor_tree_massive_ep1,2,SVO3,-0.040316998958587646,l0,you assign style,0,1
77,anchor_tree_massive_ep1,1,SVO3,0.054322779178619385,l0,you ask me,1,1
78,anchor_tree_massive_ep1,4,SVO3,-0.08981434628367424,l0,palmtran includes keyboard,0,0
79,anchor_tree_massive_ep1,1,SVO3,0.03252413123846054,l0,ye take satisfaction,1,1
0,anchor_tree_massive_ep1,2,SVO3,-0.08459588885307312,cmul,we offer variety,0,1
1,anchor_tree_massive_ep1,1,SVO3,0.16291749477386475,cmul,you have pool,1,1
2,anchor_tree_massive_ep1,5,SVO3,-0.10869590193033218,cmul,federation thought condition,0,0
3,anchor_tree_massive_ep1,2,SVO3,-0.06534856744110584,cmul,sapphire called one,0,1
4,anchor_tree_massive_ep1,4,SVO3,-0.03809826821088791,cmul,administrations revoke certificates,0,0
5,anchor_tree_massive_ep1,5,SVO3,-0.09354202449321747,cmul,google done job,0,0
6,anchor_tree_massive_ep1,1,SVO3,0.009678557515144348,cmul,residents dos remédios,1,1
7,anchor_tree_massive_ep1,3,SVO3,-0.07763212732970715,cmul,he asked questions,0,1
8,anchor_tree_massive_ep1,1,SVOA4,0.060960352420806885,cmul,you capture that how,1,1
9,anchor_tree_massive_ep1,6,SVOA4,-0.07155419886112213,cmul,we transformed businesses repeatedly,0,0
10,anchor_tree_massive_ep1,5,SVO3,-0.16040156385861337,cmul,lutron dimming installation,0,0
11,anchor_tree_massive_ep1,1,SVO3,0.04996597394347191,cmul,they provide life,1,1
12,anchor_tree_massive_ep1,2,SVOA4,-0.00821635127067566,cmul,hotel provides rentals also,0,1
13,anchor_tree_massive_ep1,2,SVO3,-0.03183943242765963,cmul,he loves it,0,1
14,anchor_tree_massive_ep1,4,SVOA4,-0.025194868445396423,cmul,ye pollute land so,0,0
15,anchor_tree_massive_ep1,4,SVO3,-0.09283236414194107,cmul,she heard sound,0,0
16,anchor_tree_massive_ep1,3,SVO3,-0.09973013773560524,cmul,software used quicktime,0,1
17,anchor_tree_massive_ep1,5,SVO3,-0.0816035233438015,cmul,hotel combines business,0,0
18,anchor_tree_massive_ep1,3,SVO3,-0.008805996680166572,cmul,they spread garment,0,1
19,anchor_tree_massive_ep1,3,SVO3,-0.04014962166547775,cmul,museum offers introduction,0,1
20,anchor_tree_massive_ep1,2,SVO3,-0.016578227281570435,cmul,you find gruta,0,1
21,anchor_tree_massive_ep1,2,SVO3,-0.015921302139759064,cmul,they put gods,0,1
22,anchor_tree_massive_ep1,2,SVOA4,-0.002398371696472168,cmul,parties enjoy pavilion also,0,1
23,anchor_tree_massive_ep1,1,SVOA4,0.014585629105567932,cmul,i catch him sometimes,1,1
24,anchor_tree_massive_ep1,16,SVOA4,-0.09613834042102098,cmul,industry implement standards actively,0,0
25,anchor_tree_massive_ep1,1,SVO3,0.0026084184646606445,cmul,you spit them,1,1
26,anchor_tree_massive_ep1,4,SVO3,-0.0559433251619339,cmul,enterprises install edition,0,0
27,anchor_tree_massive_ep1,1,SVOA4,0.028810113668441772,cmul,you read more here,1,1
28,anchor_tree_massive_ep1,17,SVOA4,-0.08316134661436081,cmul,eurotree reserves right explicitly,0,0
29,anchor_tree_massive_ep1,1,SVO3,0.010082265362143517,cmul,collins picked box,1,1
30,anchor_tree_massive_ep1,19,SVOA4,-0.21122439950704575,cmul,knowledge carry you here,0,0
31,anchor_tree_massive_ep1,1,SVO3,0.0505338404327631,cmul,project supports systems,1,1
32,anchor_tree_massive_ep1,6,SVO3,-0.0722256675362587,cmul,dancers fused features,0,0
33,anchor_tree_massive_ep1,1,SVO3,0.02570834755897522,cmul,you turn entry,1,1
34,anchor_tree_massive_ep1,2,SVO3,-0.036249011754989624,cmul,we offer price,0,1
35,anchor_tree_massive_ep1,4,SVOA4,-0.06987839937210083,cmul,attendees have text next,0,0
36,anchor_tree_massive_ep1,4,SVO3,-0.05091838166117668,cmul,gate reveals pathway,0,0
37,anchor_tree_massive_ep1,2,SVO3,-0.04049943387508392,cmul,vouchers permit people,0,1
38,anchor_tree_massive_ep1,2,SVO3,-0.024241551756858826,cmul,nordson provides equipment,0,1
39,anchor_tree_massive_ep1,1,SVO3,0.0008558966219425201,cmul,china improve coordination,1,1
40,anchor_tree_massive_ep1,5,SVO3,-0.08842798694968224,cmul,she slowed acceleration,0,0
41,anchor_tree_massive_ep1,4,SVO3,-0.05363871902227402,cmul,hotels found stars,0,0
42,anchor_tree_massive_ep1,1,SVOA4,0.00671347975730896,cmul,sathorn offers facilities also,1,1
43,anchor_tree_massive_ep1,5,SVO3,-0.20039017871022224,cmul,use terminates permission,0,0
44,anchor_tree_massive_ep1,5,SVOA4,-0.05410212650895119,cmul,cook made plaque ago,0,0
45,anchor_tree_massive_ep1,6,SVO3,-0.17214716970920563,cmul,map shows bay,0,0
46,anchor_tree_massive_ep1,6,SVO3,-0.1367887370288372,cmul,group pursues research,0,0
47,anchor_tree_massive_ep1,1,SVOA4,0.033944934606552124,cmul,you send inquiries also,1,1
48,anchor_tree_massive_ep1,1,SVO3,0.059284524992108345,cmul,ferries offers fares,1,1
49,anchor_tree_massive_ep1,6,SVO3,-0.1435849480330944,cmul,coromant developed solutions,0,0
50,anchor_tree_massive_ep1,5,SVO3,-0.11056715808808804,cmul,offers has addition,0,0
51,anchor_tree_massive_ep1,3,SVOA4,-0.010058693587779999,cmul,it gives output then,0,1
52,anchor_tree_massive_ep1,2,SVO3,-0.03399762511253357,cmul,we offer seaways,0,1
53,anchor_tree_massive_ep1,15,SVOA4,-0.12539377063512802,cmul,category describes invention best,0,0
54,anchor_tree_massive_ep1,2,SVO3,-0.0531650185585022,cmul,we offer hotels,0,1
55,anchor_tree_massive_ep1,2,SVOA4,-0.0008664578199386597,cmul,network allows access only,0,1
56,anchor_tree_massive_ep1,16,SVOA4,-0.08567766100168228,cmul,company abrogate account instantly,0,0
57,anchor_tree_massive_ep1,2,SVO3,-0.010791344568133354,cmul,working watch video,0,1
58,anchor_tree_massive_ep1,2,SVO3,-0.06177002191543579,cmul,you hit button,0,1
59,anchor_tree_massive_ep1,1,SVOA4,0.07590985298156738,cmul,you have models so,1,1
60,anchor_tree_massive_ep1,1,SVO3,0.11277329921722412,cmul,you read more,1,1
61,anchor_tree_massive_ep1,3,SVO3,-0.01611391454935074,cmul,room features tv,0,1
62,anchor_tree_massive_ep1,4,SVOA4,-0.036164239048957825,cmul,revolution driving demand also,0,0
63,anchor_tree_massive_ep1,2,SVOA4,-0.002882450819015503,cmul,you ask me long,0,1
64,anchor_tree_massive_ep1,4,SVO3,-0.05609786696732044,cmul,rotor contains parts,0,0
65,anchor_tree_massive_ep1,2,SVO3,-0.015089675784111023,cmul,apartment has bathroom,0,1
66,anchor_tree_massive_ep1,2,SVOA4,-0.06847760081291199,cmul,review type webiste above,0,1
67,anchor_tree_massive_ep1,1,SVO3,0.004929147660732269,cmul,i hate word,1,1
68,anchor_tree_massive_ep1,6,SVO3,-0.18588918447494507,cmul,isms covers matters,0,0
69,anchor_tree_massive_ep1,2,SVO3,-0.0006895065307617188,cmul,you find streets,0,1
70,anchor_tree_massive_ep1,6,SVOA4,-0.04614216089248657,cmul,i suffered deaths already,0,0
71,anchor_tree_massive_ep1,4,SVOA4,-0.04458087682723999,cmul,browser resize cells also,0,0
72,anchor_tree_massive_ep1,1,SVO3,0.07802078127861023,cmul,you saw it,1,1
73,anchor_tree_massive_ep1,1,SVO3,0.0770387053489685,cmul,you see destination,1,1
74,anchor_tree_massive_ep1,3,SVO3,-0.1111251711845398,cmul,i tell you,0,1
75,anchor_tree_massive_ep1,2,SVO3,-0.017156117130070925,cmul,widodo welcomed visit,0,1
76,anchor_tree_massive_ep1,2,SVO3,-0.004072993993759155,cmul,you assign style,0,1
