"review_id","source_line","zh","en","review_label","reviewer_notes"
"HQ-0001","6347501","Room 402 ,Shilibao, 北京, 中国 (显示地图 )","Room 402 ,Shilibao, Beijing, China (Show map )","",""
"HQ-0002","6755469","Paseo Garcia Faria 37-47, 巴塞罗那, 西班牙 (显示地图 )","Paseo Garcia Faria 37-47, Barcelona, Spain (Show map )","",""
"HQ-0003","6785184","17 Curate Road, 利物浦, 英国 (显示地图 )","17 Curate Road, Liverpool, United Kingdom (Show map )","",""
"HQ-0004","6841103","17 Vanston Place, Fulham Broadway, 伦敦, 英国 (显示地图 )","17 Vanston Place, Fulham Broadway, London, United Kingdom (Show map )","",""
"HQ-0005","7095455","R.G.Garofalo(San Pablo)19, Entre Maximo Gomes y Luis Esteves,Parque El Carmen , Santa Clara , 古巴","R.G.Garofalo(San Pablo)19, Entre Maximo Gomes y Luis Esteves,Parque El Carmen , Santa Clara , Cuba","",""
"HQ-0006","7139825","发送或传输敏感数据 时,您必须使用 SSL 加密。","When sending or transmitting sensitive data , you must use SSL encryption.","",""
"HQ-0007","7143994","Wüstenfeld, pp. 123 et seq . ; Yakut, Geographisches Wörterbuch, ed.","WÃ1⁄4stenfeld, pp. 123 et seq.; Yakut, Geographisches WÃ¶rterbuch, ed.","",""
"HQ-0008","7238526","Parque dos Poderes Campo Grande 1.47 km (步行距离: 18 分钟 )","Parque dos Poderes Campo Grande 1.47 km (walking distance: 18 minutes )","",""
"HQ-0009","7431831","那么,在即将到来的 2019 年又会出现哪些新的消费趋势,这些消费趋势又将如何驱动商业创新和营销创新。","So, what consumer trends will emerge in upcoming 2019, and how will these trends drive business innovation and marketing innovation?","",""
"HQ-0010","7445536","看看一些城市娱乐交汇文化和练习。 语言 : 英語","A look at some cities where entertainment meets culture and Exercises. Language : English","",""
"HQ-0011","7565900","您可能还会发现太阳是出,所以您可能需要一点点防晒遮阳帽的形式。","You might also find that the sun is out so you may need a little sun protection in the form of a sun hat.","",""
"HQ-0012","7655983","其中一项技术进行了很好的帮助人们和在某些情况下,保存他们的生活是自动号码识别 (ANI) 技术.","One such technology which has been excellent in helping people and in some cases, saving their lives is the Automatic Number Identification (ANI) technology.","",""
"HQ-0013","7742065","您是否需要云操作系统、存储或中间件?","Do you need a cloud operating system, storage, or middleware?","",""
"HQ-0014","7771942","另见The World Naked Bike Ride 书,其中包含250张照片和图像。","See also The World Naked Bike Ride book which includes 250 photos and images.","",""
"HQ-0015","7970158","Via Dei Fossi 9, 佛罗伦萨, 意大利 (显示地图 )","Via Dei Fossi 9, Florence, Italy (Show map )","",""
"HQ-0016","8214005","85 Campton Pl, San Francisco (CA ) , 94108, United States","85 Campton Pl, San Francisco (CA), 94108, United States","",""
"HQ-0017","8259302","Dannyxa , 42 岁, Quito 长期或者结婚","Dannyxa , 42 years old, Quito Long term or marriage","",""
"HQ-0018","8326775","Via Santa Radegonda 8, 米兰, 意大利 (显示地图 )","Via Santa Radegonda 8, Milan, Italy (Show map )","",""
"HQ-0019","8425497","28 Viale Legioni Romane, 米兰, 意大利 (显示地图 )","28 Viale Legioni Romane, Milan, Italy (Show map )","",""
"HQ-0020","8450650","32 Bray Street, South Yarra, Vic, 墨尔本, 澳大利亚 (显示地图 )","32 Bray Street, South Yarra, Vic, Melbourne, Australia (Show map )","",""
"HQ-0021","8591949","你是否有经验, 建议和提示关于 艺术品修复 在 Mixcoac (01460) 和附近周围?","It's free ! Do you have experiences, recommendations and tips about Art restoration in Mixcoac (01460) and its surroundings ?","",""
"HQ-0022","9016556","可以将其用于 php.ini 之外吗?","And can I use these outside of php.ini?","",""
"HQ-0023","9494754","你是一个情人阿卡狄亚策略 ? , 我们建议下载VALKYRIE CONNECT.","Are you a lover Arcadians strategy?, we recommend downloading VALKYRIE CONNECT.","",""
"HQ-0024","9578971","3 Via Nicolo Bettoni, 罗马, 意大利 (显示地图 )","3 Via Nicolo Bettoni, Rome, Italy (Show map )","",""
"HQ-0025","9667771","Ramos 是一个好的品牌?","Ramos is a good brand?","",""
"HQ-0026","9691580","这可能要赚钱,而在度假或不工作你的企业?","Is It Possible To Make Money While On Vacation or Not Working Your Business?","",""
"HQ-0027","9734758","UVB-313 QUV UV-B 313nm灯管(每8000小时或当设置点不能维持时更换)","UVB-313 QUV UV-B 313nm Lamp (replace every 8000 hours or when set point can't be maintained)","",""
"HQ-0028","9832328","Isaias (Freiburg, 1881 ) ; MARTI, Das Buch Jesaja (Tübingen, 1900 ) .","Isaias (Freiburg, 1881); MARTI, Das Buch Jesaja (TÃ1⁄4bingen, 1900).","",""
"HQ-0029","9875728","TC1303B-AQ3EUN 数据表(PDF ) - Microchip Technology","TC1303B-AQ3EUN 数据表(PDF) - Microchip Technology","",""
"HQ-0030","9930950","我如何在我的 Cisco.com账户中更新公司/机构名?","How do I update my Company/Organization name in my Cisco.com account?","",""
"HQ-0031","9958501","AMD 如何采取措施实现出色的游戏体验?","How does AMD take steps to enable great gaming experiences?","",""
"HQ-0032","9978323","地址: 2424 S. MISSION ST . , MOUNT PLEASANT,US (ZIP 48858 ) ( 地圖)","Address: 2424 S. MISSION ST.,MOUNT PLEASANT,US (ZIP 48858) (Find a Map)","",""
"HQ-0033","10360941","1 为什么使用Haskell?","1 Why use Haskell?","",""
"HQ-0034","10637461","32 Hotel Capo Noli Via Aurelia 52, 诺利, 意大利, 17026, 显示地图","32 Hotel Capo Noli Via Aurelia 52, Noli, Italy, 17026, show map","",""
"HQ-0035","10847176","Eppendorf 会如何处理我的注册数据?","What does Eppendorf do with my registration data?","",""
"HQ-0036","10950479","我如何使数目栏区自动使用文件名称?","How can I make the Number field automatically use the file name?","",""
"HQ-0037","11030457","酒店地址: Giovanni Calvino 21, 米兰, 意大利","Hotel address: Giovanni Calvino 21, Milan, Italy","",""
"HQ-0038","11081585","Missiles of Mar-a-Lago : Message to Russia , 中国 , 北朝鲜?","Missiles of Mar-a-Lago: Message to Russia, China , North Korea?","",""
"HQ-0039","11169239","现在英国已经投票退出欧盟,这对英国医疗器械公司会产生什么影响?","Now that the UK has voted to leave the EU, how might the fallout impact medical device companies?","",""
"HQ-0040","11498398","你是否有经验, 建议和提示关于 招待课程 在 Praha 1 (11000) 和附近周围?","Do you have experiences, recommendations and tips about Hospitality courses in Praha 1 (11000) and its surroundings ?","",""
"HQ-0041","11605382","注册用户: BrantdypE , Exabot [Bot ] , Galenned , Google [Bot ] , Ridgejum","Registered users: BrantdypE , Exabot [Bot] , Galenned , Google [Bot] , Ridgejum","",""
"HQ-0042","11699364","Powerboat Go Fast Scheveningen Doctor Lelykade 36, Den Haag 1.54 km (步行距离: 19 分钟 )","Powerboat Go Fast Scheveningen Doctor Lelykade 36, Den Haag 1.54 km (walking distance: 19 minutes )","",""
"HQ-0043","11711229","Via Laietana, 哥特式, 巴塞罗那, 西班牙, 08003 - 查看地图","Via Laietana, Gotic, Barcelona, Spain, 08003 - View on map","",""
"HQ-0044","11851662","让我们看看一些有效的链接建设策略。","Let's take a look at some effective link building strategies.","",""
"HQ-0045","11922290","Pauli Holstenstrasse 7, 汉堡, 德国 (显示地图 )","Pauli Holstenstrasse 7, Hamburg, Germany (Show map )","",""
"HQ-0046","12008973","Calle 5 De Febrero, No. 24 Centro H, 墨西哥城, 墨西哥 (显示地图 )","Calle 5 De Febrero, No. 24 Centro H, Mexico City, Mexico (Show map )","",""
"HQ-0047","12011484","从Rapidshare.com下载: the most shocking babe on the net.zip - Rapidshare搜索- Rapid4search.com Rapidshare8 Search","Download from Rapidshare.com the most shocking babe on the net.zip - Rapidshare Search - Rapid4Search.com Rapidshare8 Search","",""
"HQ-0048","12073481","Python & Django expert needed ($25-50 USD/小时)","Python & Django expert needed ($25-50 USD / hour)","",""
"HQ-0049","12117170","你是否有经验, 建议和提示关于 飞行洗礼 在 Goyave 和附近周围?","Do you have experiences, recommendations and tips about Flight baptisms in Goyave and its surroundings ?","",""
"HQ-0050","12132723","44 城市套房酒店 芝加哥 933 West Belmont Avenue, 芝加哥, 美国, 60657, 显示地图","44 City Suites Hotel Chicago 933 West Belmont Avenue, Chicago, United States, 60657, show map","",""
"HQ-0051","12229778","如果您已正确安装了推荐的内存,但 PC 仍然不能启动或识别内存,您可能需要从计算机制造商的网站下载最新的 BIOS。","If you have properly installed the recommended memory and the PC still does not boot or recognisethe memory, you may need to download the latest BIOS from your computer manufacturer's Website.","",""
"HQ-0052","12306129","Pilz可以提供什么样的产品和解决方案以实现完全自动化?","What are the products and solutions that Pilz can offer for complete automation?","",""
"HQ-0053","12431794","Arizona Charlie's Boulder - Casino Hotel, Suites , & RV Park","Arizona Charlie's Boulder - Casino Hotel, Suites, & RV Park","",""
"HQ-0054","12443083","6614 Southpoint St, San Antonio (TX ) , 78229, United States","6614 Southpoint St, San Antonio (TX), 78229, United States","",""
"HQ-0055","12456814","68 Novotel Brussels Midi Station Avenue Fonsny 5-7, 布鲁塞尔, 比利时, 1060, 显示地图","68 Novotel Brussels Midi Station Avenue Fonsny 5-7, Brussels, Belgium, 1060, show map","",""
"HQ-0056","12526259","542 3rd Avenue , 圣地亚哥 , 美国","542 3rd Avenue , San Diego , USA","",""
"HQ-0057","12741788","16 Piazza Leon Battista Alberti, 佛罗伦萨, 意大利 (显示地图 )","16 Piazza Leon Battista Alberti, Florence, Italy (Show map )","",""
"HQ-0058","12867147","14 Via Emilio Morosini, 罗马, 意大利 (显示地图 )","14 Via Emilio Morosini, Rome, Italy (Show map )","",""
"HQ-0059","13043435","使用这些视图可收集有关现有储存配置的信息、配置 RAID 、卷管理 、加密文件 之类的功能,以及查看包含其他功能的文件系统,例如 Btrfs、NFS 或 TMPFS 。","These views can be used to collect information about existing storage configurations, configure functions (like RAID , Volume Management , Crypt Files ), and view file systems with additional features, such as Btrfs, NFS, or TMPFS .","",""
"HQ-0060","13312386","如果我的申请被拒绝了,我应该怎么寻求帮助?","How do I get help if my application is refused?","",""
"HQ-0061","13353205","931/9 Soi Kasemsun 1, Rama 1 Rd . , Patumwan, Wungmai, 曼谷, 泰国 (显示地图 )","931/9 Soi Kasemsun 1, Rama 1 Rd., Patumwan, Wungmai, Bangkok, Thailand (Show map )","",""
"HQ-0062","13481421","Part 1: Introduction to IoT (15 分钟)","Part 1: Introduction to IoT (15 min)","",""
"HQ-0063","13532624","将OST转换为PST也有助于将数据从一个地方迁移到另一个地方。","Converting OST to PST also helps in migrating data from one place to another.","",""
"HQ-0064","13676842","Yuval Dascalu | 二月 23, 2017 Waiting to see it in the 2018 version.","Yuval Dascalu | February 23, 2017 Waiting to see it in the 2018 version.","",""
"HQ-0065","13709214","Western Suburbs , 孟买 7.1 好 分数来自5 条评语","Western Suburbs , Mumbai 7.1 Good Score from 5 reviews","",""
"HQ-0066","13815018","63 Monte Casone Peccioli 58 Via Di Monti, Peccioli, 意大利, 56037, 显示地图","63 Monte Casone Peccioli 58 Via Di Monti, Peccioli, Italy, 56037, show map","",""
"HQ-0067","13893519","问: 如何知道公司是否已经合法注册?","Q: How can a company know whether it is lawfully registered?","",""
"HQ-0068","13940130","Via Francesco Maurolico, 42, 罗马, 意大利 (显示地图 )","Via Francesco Maurolico, 42, Rome, Italy (Show map )","",""
"HQ-0069","13948581","22 Poggio Savelli Guest House Scarperia Localita Senni 14, 斯卡尔佩里亚, 意大利, 50038, 显示地图","22 Poggio Savelli Guest House Scarperia Localita Senni 14, Scarperia, Italy, 50038, show map","",""
"HQ-0070","14024939","Infosys iSmart,创新能源管理解决方案:技术评论杂志(印度)","Infosys iSmart, an innovative energy management solution: Technology Review (India)","",""
"HQ-0071","14147569","Hultschiner Damm 236, 柏林, 德国 (显示地图 )","Hultschiner Damm 236, Berlin, Germany (Show map )","",""
"HQ-0072","415875","M酒店 4 stars","M Hotel 4 stars","",""
"HQ-0073","451724","12 E SHORE Drive 普林斯顿 , 新泽西州 08540 美国","12 E SHORE Drive Princeton , New Jersey 08540 United States","",""
"HQ-0074","556423","如果有问题,如何联系 flowers4colombo.com 的客户服务?","How do I contact flowers4colombo.com customer service if there is a problem?","",""
"HQ-0075","1420628","Bruzon 119 e/ Montoro y Luaces , Havana , 古巴","Bruzon 119 e/ Montoro y Luaces , Havana , Cuba","",""
"HQ-0076","2236512","你可以解释一下约翰福音11章26节吗? 经文说 : "" 凡活着信我的人必永远不死。","Can you explain John 11:26: ""Whoever lives and believes in Me shall never die""?","",""
"HQ-0077","2403717","648 Baotou South Road Wuj, 上海, 中国 (显示地图 )","648 Baotou South Road Wuj, Shanghai, China (Show map )","",""
"HQ-0078","3381587","26 Quattro Ville Florence Via Di Boldrone 100, 佛罗伦萨, 意大利, 50141, 显示地图","26 Quattro Ville Florence Via Di Boldrone 100, Florence, Italy, 50141, show map","",""
"HQ-0079","4057342","Public Choice Award ) , Hans-Julius Ahlmann (Host at Kunstwerk Carlshütte ) , Talia Keinan (2.","Public Choice Award), Hans-Julius Ahlmann (Host at Kunstwerk Carlshütte), Talia Keinan (2.","",""
"HQ-0080","4080333","数字技术影响你的权利?","Does digital technology impact your rights?","",""
"HQ-0081","4100701","Intel® Celeron® D Processor 320 (256K Cache, 2.40 GHz, 533 MHz FSB) mPGA 478, Tray 规格代码 SL7VW 订购代号 RK80546RE056256","Intel® Celeron® D Processor 320 (256K Cache, 2.40 GHz, 533 MHz FSB) mPGA 478, Tray Spec Code SL7VW Ordering Code RK80546RE056256","",""
"HQ-0082","4878283","地址: Via della Marra 7 , 84010 Ravello, Italy","Address: Via della Marra 7 , 84010 Ravello, Italy","",""
"HQ-0083","4929616","TC1303B-AD3EUN 数据表(PDF ) - Microchip Technology","TC1303B-AD3EUN 数据表(PDF) - Microchip Technology","",""
"HQ-0084","6699991","酒店地址: Via Cadibona 2A, 米兰, 意大利","Hotel address: Via Cadibona 2A, Milan, Italy","",""
"HQ-0085","6924037","我如何添加关键字和我在哪里把它们放到最优化?","How do I add keywords and where do I put them for best optimization?","",""
"HQ-0086","8116784","1058 128 Thanon Phahon Yothin, 曼谷, 泰国 (显示地图 )","1058 128 Thanon Phahon Yothin, Bangkok, Thailand (Show map )","",""
"HQ-0087","8489144","金属检测机的正确测试程序是什么?","What is the correct testing procedure for a metal detector?","",""
