"review_id","source_line","zh","en","review_label","reviewer_notes"
"DQ-0001","2478086","美国财政部长","United States Marine Corps in films","",""
"DQ-0002","12092579","眉子的双臂已经不停地颤抖,手臂内的肌肉也开始小小地痉挛着。","The tune that they were playing changed, and the tone of the music changed too.","",""
"DQ-0003","11917237","功德从哪儿来?","Who does the design for your products?","",""
"DQ-0004","7726086","Adam-Saidi重要详情","Important details of ebonypixie","",""
"DQ-0005","14089791","又是焦急等待的一分钟,门这才终于开了。","It was the beginning of July, and the long summer heats had come.","",""
"DQ-0006","1078055","“你就是好人吗?","“Why are you following me?”","",""
"DQ-0007","8306533","纪云欣看着深田贺一正在对早上来到诊所的那对夫妻做简介,本来,这个工","And then he looked down to his dirty hands, he looked at the yellow ground and he remembered he was not in his room, and that it wasn’t the sun.","",""
"DQ-0008","12103471","穷人集中北方城市?","TONEY ATKINS: WHAT IN THE WORLD?","",""
"DQ-0009","12042776","“我怕什么?","Now what am I going to wear?","",""
"DQ-0010","10239047","突然,棋盘一亮。","He wasn't much of a parent.","",""
"DQ-0011","3930520","汇发棋最多赢多少钱 . . .","How Much Is The Greek Debt Today","",""
"DQ-0012","8230692","爸,那上面还有疤痕 。 ”","And, he meant it.","",""
"DQ-0013","208415","冻结决定书应当载明下列事项:","The request for transit shall contain:","",""
"DQ-0014","9735706","3N65L-TN3-T Datasheet(数据表) 7 Page - Unisonic Technologies","详细搜索 FQPF5P10 Datasheet(数据表) 4 Page - Fairchild Semiconductor","",""
"DQ-0015","1429210","正在胡思乱想时。","He lifted it.","",""
"DQ-0016","10399893","看看前不久菲律宾赌场的事吧!","The slickness could come later in the week.","",""
"DQ-0017","12128610","File:PanoramaofCanton.jpg - 维基百科,自由的百科全书","File:Carron fish bar.jpg - Wikipedia","",""
"DQ-0018","7379841","我一定会回来的,呵呵!","“That must be one big conference hall!”","",""
"DQ-0019","4947989","SIZ728DT_12 Datasheet(数据表) 8 Page - Vishay Siliconix","详细搜索 FQP4P25 Datasheet(数据表) 3 Page - Fairchild Semiconductor","",""
"DQ-0020","1806366","第35章:决战,虚拟战场","Chapter 35: Information and Technology Services","",""
"DQ-0021","10871175","在国家动乱的情况下,人民解放军仍然英勇地保卫着祖国的安全。","Actually, the title of the document is Strategy and Tactics of Armed Struggle in Nepal.","",""
"DQ-0022","12467610","(待续)","To be obtuse?","",""
"DQ-0023","3825757","【双头折刀】 世界上最好的日本刀","Definition Of Divorce In The Bible","",""
"DQ-0024","2700820","人力资源被视为社会中最重要的","Petersburg to investigate the most scandalous affairs in Moscow.","",""
"DQ-0025","1726413","其他应当中止诉讼的情形。","The source of all material should be clearly identifiable.","",""
"DQ-0026","4001496","如何 使用指南针","How to Write an Advertisement","",""
"DQ-0027","10595540","VictoriaReed重要详情","Important details of HellenBrooks","",""
"DQ-0028","1781194","让我顺利完成这我这一次的<br />预定计划 。 」","I knew that my Aunt Tasha<br />was in the shower.","",""
"DQ-0029","1545301","或许也只有幸村,才看得明白他内心的想法吧。","It was the ""New Age"" capital of the ""Old World.""","",""
"DQ-0030","10703479","这个概念也可以纳入现有的规划,在设计环节上,该项目具有更大的,向杭州城市的边缘水道的伸展性。","Using daylight as a designing element, the pattern on top of the membrane is related to the one represented in the design of the court.","",""
"DQ-0031","7444144","Admin Name: yuxiuhui","Admin Name: Rocket Oxygen","",""
"DQ-0032","11250567","她的眼睛看着他鼓起的裤子,她不由得低下头,确实是害羞。","When it was too hot outside, and she was cuddled up in her room.","",""
"DQ-0033","14070177","群众欢呼,拿那个洋女人大开玩笑。","And so it is with the workman of art.","",""
"DQ-0034","12539162","我好想见妈妈一面啊!","I want my car and I want it now!","",""
"DQ-0035","5976422","说着,我在妈妈的脸上亲了一下,手用力的抓了一下那丰满有弹性的乳房。","Sighing, I climbed into the car, pushed the button to start it up, and drove away.","",""
"DQ-0036","13306203","损伤了总统的第一节胸脊,是子弹还是应力造成的不得而知。","It is the child of hope and the home of the brave.","",""
